,Phenotype1,Phenotype2,Phenotype3
ACAd,0.9471716475829779,0.15092307928457477,0.8035944600347321
ACAv,0.771135009807436,-0.03238069170967243,0.581980430164852
PL,0.7000828697016843,0.08562101229978565,0.7384950319974125
ILA,0.5705934471681523,-0.10427964646659986,0.45262658595340655
ORBl,0.6448708403249944,0.186544418660569,0.8335568939392896
ORBm,0.6828689589452959,0.01594442825497647,0.7174812506895771
ORBvl,0.8336224288855616,0.2559396222210636,0.9948432127663128
MOp,0.3392465460634484,0.21155774013870834,0.30147535855047813
SSp-n,0.24871643692920056,0.6070725235131208,0.4937185651141604
SSp-bfd,0.7300849878539841,0.8295736050756687,0.65346075031017
SSp-ll,0.6959063617872876,0.5750708354526007,0.4444766050389096
SSp-m,0.16080525258659148,0.38101855497020287,0.33188854772674964
SSp-ul,0.46877413440089977,0.5817893438820878,0.38772822721569067
SSp-tr,0.8139732498486842,0.686427002726297,0.465942574140067
SSp-un,0.5030457876029962,0.7837760433857716,0.5921405854983299
SSs,0.417273363195956,0.639102236539084,0.6035046225699024
PTLp,0.8730364836571847,0.6361997544255815,0.5127771517948612
RSPagl,0.9506582287093758,0.32200399865622537,0.3609193892812665
RSPd,0.8597168540413336,0.1763214460168143,0.1531863203872468
RSPv,0.7079657951499336,0.09539533320352514,0.028237793638121286
VISpm,0.7781862144740457,0.5144347863014319,0.37709665536108067
VISp,0.5100993147041216,0.48495665758453377,0.2130357719077351
VISal,0.731271945814922,0.7394152644182729,0.5869437540847238
VISl,0.8798980991603242,0.6345252614986705,0.6433539687060853
VISpl,0.6560407670597874,0.5010176851695946,0.35943926056516473
AId,0.2660009900085841,0.1891163701719267,0.6875358444609116
AIp,0.3058458164491382,0.2189859298106928,0.5627061049271859
AIv,0.32674517075504483,0.1117530223281085,0.6395181267942894
GU,0.2840656521540154,0.16771958547467117,0.5848290943997888
VISC,0.3459883501618693,0.3326213108785559,0.5923450423729212
TEa,0.5691841922542531,0.47827875050875046,0.4144678611793789
PERI,0.5662692913551568,0.41396653735138733,0.40439817732748334
ECT,0.45035452683313165,0.2845897913133166,0.46170243177144094
AUDd,0.5696557917853977,0.9696926488187777,0.5459528512434072
AUDp,0.6636950621017156,0.8432609624399541,0.5346567349769802
AUDpo,0.8938984472325863,0.7272255984127928,0.7106035150898188
AUDv,0.5257203113574784,0.6725216359979747,0.4189413568712272
