,correlation,p_value
A8m,0.14055787267996617,1.774233545359864e-21
A8dl,0.1522217074896528,5.951324845135997e-25
A9l,0.10864202978759763,2.110809900949882e-13
A6dl,0.0701682746861776,2.207033767948425e-06
A6m,0.14150759277140387,9.477546101890678e-22
A9m,0.05204332932802201,0.0004500665498970523
A10m,0.11285145604714326,2.3872747356312685e-14
A9/46d,0.21449722660192322,2.0204769208015773e-48
IFJ,0.16231659092186432,3.446970555091213e-28
A46,0.1718030733533656,1.9887933747648362e-31
A9/46v,0.16483986204281756,4.950462848430419e-29
A8vl,0.11757420651882156,1.876566262957721e-15
A6vl,0.10860916730219808,2.1463395465869244e-13
A10l,0.12247775749460862,1.1986876496238047e-16
A44d,0.2728466099481464,2.3391797942140544e-78
IFS,0.2867323699555755,1.0872612922252286e-86
A45c,0.22649876059594637,6.272222625311795e-54
A45r,0.16157335938904407,6.068883117513891e-28
A44op,0.18676193980319564,6.295885781081224e-37
A44v,0.23615902570496067,1.3305778898556744e-58
A14m,0.14158800859965193,8.985707215237807e-22
A12/47o,0.19666063970883793,7.80450339410846e-41
A11l,0.17891931923848925,5.528419183249596e-34
A11m,0.17938264999749193,3.7359643986111323e-34
A13,0.33660540523942317,9.887664578632478e-121
A12/47l,0.22567094782771485,1.5413138101711871e-53
A32p,0.4343177733807626,2.2899944685101945e-208
A32sg,0.43699041088979734,3.3392161137162854e-211
A24cd,0.3732107445600106,4.267522547582668e-150
A24rv,0.4408036449585249,2.708155026153662e-215
A4hf,0.3384703277716067,3.9081003877528547e-122
A6cdl,0.36560384682451136,1.1358687907955684e-143
A4ul,0.349508314149626,1.2205355349076434e-130
A4t,0.394662222563815,3.60011401761643e-169
A4tl,0.1604983930066071,1.3688766612143558e-27
A6cvl,0.3019730058645377,2.1325624300171336e-96
A1/2/3ll,0.3416164983833415,1.5950235313514892e-124
A4ll,0.3705496215160378,7.900603762775763e-148
A1/2/3ulhf,0.4131374406574455,8.975541813226168e-187
A1/2/3tonIa,0.2911940983967684,1.802958162765726e-89
A2,0.32299439684689,8.80003511684488e-111
A1/2/3tru,0.3839140676738747,1.9590599998037464e-159
A7r,0.18941433106860792,5.933116870063034e-38
A7c,0.30191180634690784,2.3392612680131916e-96
A5l,0.30316796194963413,3.4871454470856363e-97
A7pc,0.23079442174005405,5.5707459780105225e-56
A7ip,0.25504199816429857,2.2846672957128088e-68
A39c,0.21754569057703463,8.657488441020538e-50
A39rd,0.18945859657348676,5.702083209947096e-38
A40rd,0.11108566242153621,6.016030448566811e-14
A40c,0.262962093234942,1.0236140317165874e-72
A39rv,0.2212436295766655,1.7765839001799583e-51
A40rv,0.09475152207951243,1.5705500153730608e-10
A7m,0.21376897523632926,4.257600353471181e-48
A5m,0.30317336196611566,3.458658880042783e-97
dmPOS,0.29489352782132694,8.169826933654275e-92
A31,0.31363674581724377,3.1090635024074375e-104
A23d,0.191905845665471,6.247713768683477e-39
A23c,0.1532565995662737,2.8354129012170995e-25
A23v,-0.03877759110963664,0.008957952660533515
cLinG,0.5294099081955869,0.0
rCunG,0.48356402393774073,6.329016107816397e-265
cCunG,0.41809584644119396,1.086795410600032e-191
rLinG,0.42650576407198043,3.198227443059223e-200
vmPOS,0.5051302472205818,9.062353190974816e-293
mOccG,0.27975665065194705,1.916852679831557e-82
V5/MT+,0.22648658216810072,6.355903279090172e-54
OPC,0.24474166221505209,6.164312160164384e-63
iOccG,0.25387257743257846,9.730558293961198e-68
msOccG,0.27502071341925527,1.247687491828014e-79
lsOccG,0.19247089066361436,3.733623016409734e-39
G,0.03731575485714186,0.011901375371906884
vIa,0.0659089186208686,8.768730542608711e-06
dIa,0.11904395498840618,8.325525036417739e-16
vId/vIg,0.35685303389633966,1.7137058992088265e-136
dIg,0.1461160426865517,4.253187726734218e-23
dId,0.3727729195171314,1.0108985350033037e-149
A38m,0.4186897798897008,2.7644065214238635e-192
A41/42,0.1038048051073324,2.3345364628593177e-12
TE1.0 and TE1.2,0.16325380261546693,1.6825910183739587e-28
A22c,0.2291781063269649,3.332834426943337e-55
A38l,0.4472402541511666,2.5547677752504454e-222
A22r,0.0032037175485658373,0.8291018469431909
A21c,0.05968523240496884,5.699243124720767e-05
A21r,0.1788971973765339,5.632685938384686e-34
A37dl,0.04154796762575566,0.005101761464033696
aSTS,0.1500733039347163,2.728373960117963e-24
A20iv,0.1204517763990165,3.7863448136370684e-16
A37elv,0.17157019501633228,2.401027307161365e-31
A20r,0.17814693988294128,1.0599710223145944e-33
A20il,0.21582722416507186,5.1424963184898204e-49
A37vl,0.1119885314532566,3.757088166729215e-14
A20cl,0.1761892270495756,5.445799398621965e-33
A20cv,0.19998389215193052,3.40755506427047e-42
A20rv,0.12794810960404016,4.877261796061861e-18
A37mv,0.08556873065231546,7.656179584142367e-09
A37lv,0.16249643652411352,3.0047941534458057e-28
A35/36r,0.5485848254242051,0.0
A35/36c,0.5064961722335063,1.3349414674961295e-294
lateral PPHC,0.2514207660849525,1.981311175519609e-66
A28/34,0.5913823210768784,0.0
TI,0.5288508925408263,0.0
TH,0.30393696265277587,1.0824384945142005e-97
rpSTS,0.09393916532972019,2.2495607060715167e-10
cpSTS,0.12328255141931158,7.550268273859046e-17
